행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
잠실본동,59150,76.5,11710650,25,1,0,9,5,0,0,13,송파구,0.06401959935,0.7325086973,DANGER
장안1동,30000,55.14,11230650,30,6,0,11,5,0,0,44,동대문구,0.03979262302,0.7717661692,NORMAL
장위1동,21850,54.57,11290760,8,8,0,1,4,0,0,37,성북구,0.02702334847,0.8008241758,SAFE
장지동,37480,48.96,11710646,10,7,0,3,4,1,0,42,송파구,0.06401959935,0.7325086973,DANGER
장충동,31250,37.97,11140580,1,4,0,2,6,3,0,14,중구,0.0365631844,0.7377326565,NORMAL
전농1동,35500,56.79,11230560,14,6,0,2,5,6,0,38,동대문구,0.03979262302,0.7717661692,NORMAL
정릉3동,29400,59.94,11290640,2,33,0,1,4,0,0,38,성북구,0.02702334847,0.8008241758,SAFE
제기동,24250,45.32,11230545,23,8,3,5,4,14,0,31,동대문구,0.03979262302,0.7717661692,NORMAL
종로1234가동,24000,34.15,11010610,47,7,1,35,19,22,0,72,종로구,0.03421225207,1.174683544,NORMAL
종로56가동,22275,21.795,11010630,31,2,4,8,7,3,0,24,종로구,0.03421225207,1.174683544,NORMAL
종암동,45000,59.98,11290705,18,10,0,2,7,0,0,56,성북구,0.02702334847,0.8008241758,SAFE
중계1동,32000,59.26,11350621,7,5,0,3,2,0,0,18,노원구,0.0383696903,0.7768461787,NORMAL
중곡2동,20895,38.285,11215750,14,2,0,4,2,0,0,23,광진구,0.03551145152,0.7731707317,NORMAL
중림동,70780,68.07,11140680,7,4,0,2,3,5,0,14,중구,0.0365631844,0.7377326565,NORMAL
중화2동,22000,37.705,11260610,14,0,2,3,2,0,0,35,중랑구,0.0392110766,0.7772167876,NORMAL
증산동,66000,80.931,11380640,8,4,2,0,3,0,0,17,은평구,0.03980499635,0.765620143,NORMAL
진관동,39950,84.69,11380690,22,18,0,6,6,1,0,82,은평구,0.03980499635,0.765620143,NORMAL
창2동,25800,58.01,11320512,9,2,0,0,3,0,0,44,도봉구,0.02154196414,0.792073521,SAFE
창신3동,28180,54.7,11110690,1,2,0,0,3,0,0,6,종로구,0.03421225207,1.174683544,NORMAL
천연동,55000,59.86,11410520,4,14,0,1,4,1,0,44,서대문구,0.02541481582,0.723466407,SAFE
천호2동,25000,41.105,11740610,27,3,0,3,4,3,0,22,강동구,0.04145064898,0.7492537313,NORMAL
청구동,47125,59.94,11140645,3,5,0,0,2,0,0,5,중구,0.0365631844,0.7377326565,NORMAL
청담동,85000,82.3575,11680565,31,7,0,19,11,0,0,26,강남구,0.07556391443,0.7483215982,DANGER
청량리동,24500,48.77,11230705,17,6,0,4,9,2,0,34,동대문구,0.03979262302,0.7717661692,NORMAL
청운효자동,29700,59.97,11110515,4,14,0,3,6,0,0,26,종로구,0.03421225207,1.174683544,NORMAL
청파동,25000,29.02,11170555,12,30,1,2,7,1,0,35,용산구,0.0411041958,0.7450331126,NORMAL
충현동,30250,68.235,11410565,7,31,0,8,9,0,0,61,서대문구,0.02541481582,0.723466407,SAFE
평창동,44100,84.84,11110560,6,4,0,2,6,0,0,91,종로구,0.03421225207,1.174683544,NORMAL
풍납2동,49000,63.39,11710520,27,11,0,5,5,0,0,25,송파구,0.06401959935,0.7325086973,DANGER
필동,19725,27.91,11140570,8,22,0,9,6,3,0,17,중구,0.0365631844,0.7377326565,NORMAL
하계1동,35000,59.46,11350611,10,24,0,3,4,0,0,41,노원구,0.0383696903,0.7768461787,NORMAL
한강로동,43275,48.57,11170625,21,3,5,19,19,5,0,48,용산구,0.0411041958,0.7450331126,NORMAL
한남동,65000,59.98,11170685,14,4,3,11,30,0,0,38,용산구,0.0411041958,0.7450331126,NORMAL
합정동,25000,37.4,11440680,10,3,0,3,4,0,0,32,마포구,0.04814461946,0.7794911334,DANGER
항동,46650,84.661,11530800,2,12,0,0,1,0,0,37,구로구,0.04179710217,0.7291296625,NORMAL
행당2동,62500,59.97,11200570,4,4,0,2,2,0,0,25,성동구,0.02619433549,0.7132735002,SAFE
혜화동,15500,38.345,11110650,16,35,0,5,6,1,0,36,종로구,0.03421225207,1.174683544,NORMAL
홍은1동,38850,63.68,11410660,7,2,0,0,3,1,0,32,서대문구,0.02541481582,0.723466407,SAFE
홍제3동,43000,60,11410640,16,7,4,3,3,6,0,47,서대문구,0.02541481582,0.723466407,SAFE
화곡1동,18900,37.76,11500540,28,3,0,2,3,1,0,29,강서구,0.04959229884,0.8510479042,DANGER
화양동,16400,21.47,11215710,18,39,0,5,3,1,0,18,광진구,0.03551145152,0.7731707317,NORMAL
황학동,31500,35.94,11140670,10,0,0,6,1,7,0,6,중구,0.0365631844,0.7377326565,NORMAL
회기동,21000,43.74,11230710,11,20,0,5,3,0,0,10,동대문구,0.03979262302,0.7717661692,NORMAL
회현동,30000,28.82,11140540,16,3,2,17,9,3,0,41,중구,0.0365631844,0.7377326565,NORMAL
효창동,31750,48.845,11170580,5,3,0,1,1,0,0,24,용산구,0.0411041958,0.7450331126,NORMAL
후암동,25000,38.01,11170510,7,4,2,1,6,0,0,18,용산구,0.0411041958,0.7450331126,NORMAL
휘경2동,25000,47.95,11230730,6,13,0,1,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL
흑석동,74500,84.753,11590605,25,26,0,6,6,1,0,51,동작구,0.03036414704,0.717196414,SAFE
